campaign_id,campaign_name,order,url,total_clicks,unique_clicks,click_percentage,unique_click_percentage
295f3172eb,DP Daybreak 02/26/2025,1,https://www.lps.upenn.edu/non-degree-programs/pre-health/admissions?utm_campaign=5940998-daily_penn_enews_banner_spring&utm_source=ppc&utm_medium=enews%20banner&utm_term=jan25&utm_content=daily_penn_enews_banner_spring,18,18,0.008915304606240713,0.017424975798644726
5b03d7e316,DP Daybreak 02/27/2025,1,http://penn-projected-face-artificial-intelligence-conference,72,27,0.022004889975550123,0.012328767123287671
6a06276cf1,DP Daybreak 02/28/2025,1,https://thelinden.life/,101,96,0.046500920810313075,0.06699232379623168
9cb131a6e1,DP Daybreak 03/03/2025,1,https://tinyurl.com/designblackbrazil-penn25,50,48,0.027793218454697052,0.0427807486631016
3b2f1d63c6,DP Daybreak 03/04/2025,1,https://tinyurl.com/designblackbrazil-penn25,59,58,0.028978388998035363,0.0475799835931091
04f4d9ae46,DP Daybreak 03/05/2025,1,https://www.lps.upenn.edu/hs/pre-health?utm_campaign=5940998-daily_penn_enews_banner_spring&utm_source=ppc&utm_medium=enews%20banner&utm_term=jan25&utm_content=daily_penn_enews_banner_spring,101,98,0.057517084282460135,0.08433734939759036
04f4d9ae46,DP Daybreak 03/05/2025,2,https://www.sas.upenn.edu/events/penn-science-cafe-there-no-one-way-teach-math,7,6,0.003986332574031891,0.0051635111876075735
04f4d9ae46,DP Daybreak 03/05/2025,3,https://www.sas.upenn.edu/events/knowledge-slice-whither-south-korean-democracy-democratic-backsliding-executive-power-and,5,5,0.0028473804100227792,0.004302925989672977
04f4d9ae46,DP Daybreak 03/05/2025,4,https://tinyurl.com/designblackbrazil-penn25,4,4,0.002277904328018223,0.0034423407917383822
b1c37e05e9,DP Daybreak 03/06/2025,1,https://snfpaideia.upenn.edu/events/the-future-of-conservatism-and-the-gop-in-the-age-of-trump/,21,17,0.01278149726110773,0.01951779563719862
b1c37e05e9,DP Daybreak 03/06/2025,2,https://tinyurl.com/designblackbrazil-penn25,8,7,0.004869141813755326,0.008036739380022962
b1c37e05e9,DP Daybreak 03/06/2025,3,https://www.sas.upenn.edu/events/knowledge-slice-whither-south-korean-democracy-democratic-backsliding-executive-power-and,10,8,0.006086427267194157,0.009184845005740528
b1c37e05e9,DP Daybreak 03/06/2025,4,http://bestofpenn.com,8,7,0.004869141813755326,0.008036739380022962
be1148247a,DP Daybreak 03/07/2025,1,https://www.sas.upenn.edu/events/penn-science-cafe-there-no-one-way-teach-math,19,16,0.010944700460829493,0.016359918200409
be1148247a,DP Daybreak 03/07/2025,2,https://snfpaideia.upenn.edu/events/the-future-of-conservatism-and-the-gop-in-the-age-of-trump/,8,8,0.004608294930875576,0.0081799591002045
d45ac9a550,DP Daybreak 03/17/2025,1,https://www.sas.upenn.edu/events/penn-science-cafe-there-no-one-way-teach-math,113,86,0.03519152911865463,0.04350025290844714
d45ac9a550,DP Daybreak 03/17/2025,2,https://www.campusexpress.upenn.edu/gradfair,83,74,0.025848645281843663,0.03743045017703591
d45ac9a550,DP Daybreak 03/17/2025,3,https://snfpaideia.upenn.edu/events/the-future-of-conservatism-and-the-gop-in-the-age-of-trump/,8,8,0.002491435689816257,0.004046535154274153
d45ac9a550,DP Daybreak 03/17/2025,4,https://www.sas.upenn.edu/events/knowledge-slice-whither-south-korean-democracy-democratic-backsliding-executive-power-and,8,6,0.002491435689816257,0.0030349013657056147
9f8477e800,DP Daybreak 03/18/2025,1,https://www.sas.upenn.edu/events/penn-science-cafe-there-no-one-way-teach-math,45,21,0.017064846416382253,0.014705882352941176
9f8477e800,DP Daybreak 03/18/2025,2,https://www.campusexpress.upenn.edu/gradfair,21,13,0.007963594994311717,0.009103641456582634
9f8477e800,DP Daybreak 03/18/2025,3,https://thelinden.life/,11,8,0.004171406901782328,0.0056022408963585435
9f8477e800,DP Daybreak 03/18/2025,4,http://dominos.com/,5,5,0.0018960940462646946,0.0035014005602240898
163d58fae2,DP Daybreak 03/19/2025,1,https://www.lps.upenn.edu/non-degree-programs/pre-health/events?utm_campaign=5940998-daily_penn_enews_banner_spring&utm_source=ppc&utm_medium=enews%20banner&utm_term=jan25&utm_content=daily_penn_enews_banner_spring,90,80,0.037641154328732745,0.05379959650302623
163d58fae2,DP Daybreak 03/19/2025,2,https://www.campusexpress.upenn.edu/gradfair,5,5,0.002091175240485153,0.0033624747814391394
dc75c3dbac,DP Daybreak 03/20/2025,1,https://www.campusexpress.upenn.edu/gradfair,36,26,0.008423022929340197,0.011850501367365542
dc75c3dbac,DP Daybreak 03/20/2025,2,https://universityrealtyapartments.com/,23,14,0.0053813757604117924,0.006381039197812215
1964696f72,DP Daybreak 03/21/2025,1,https://apartmentsatpenn.com/,49,23,0.013509787703336091,0.012472885032537961
1964696f72,DP Daybreak 03/21/2025,2,https://pattayarestaurant.com/,57,31,0.015715467328370553,0.016811279826464208
1964696f72,DP Daybreak 03/21/2025,3,https://www.campusexpress.upenn.edu/gradfair,12,10,0.0033085194375516956,0.005422993492407809
2f494d6edf,DP Daybreak 03/24/2025,1,https://www.campusexpress.upenn.edu/gradfair,57,52,0.017096580683863227,0.027762947143619862
2f494d6edf,DP Daybreak 03/24/2025,2,http://quakercreative.com/events,59,49,0.01769646070785843,0.02616123865456487
3c0b07b780,DP Daybreak 03/25/2025,1,https://www.campusexpress.upenn.edu/gradfair,29,22,0.010788690476190476,0.014854827819041188
3c0b07b780,DP Daybreak 03/25/2025,2,https://www.sas.upenn.edu/events/penn-science-cafe-pushing-boundaries-human-brain-imaging-new-era-mind-brain-research,17,11,0.006324404761904762,0.007427413909520594
3c0b07b780,DP Daybreak 03/25/2025,3,http://quakercreative.com/events,14,12,0.005208333333333333,0.008102633355840648
91081895a0,DP Daybreak 03/26/2025,1,https://www.lps.upenn.edu/non-degree-programs/pre-health/events?utm_campaign=5940998-daily_penn_enews_banner_spring&utm_source=ppc&utm_medium=enews%20banner&utm_term=jan25&utm_content=daily_penn_enews_banner_spring,100,88,0.03816793893129771,0.05323653962492438
91081895a0,DP Daybreak 03/26/2025,2,http://dominos.com/,9,8,0.003435114503816794,0.004839685420447671
91081895a0,DP Daybreak 03/26/2025,3,http://quakercreative.com/events,10,9,0.003816793893129771,0.0054446460980036296
