,order,total_clicks,unique_clicks,click_percentage,unique_click_percentage,total_clicks_relative,unique_clicks_relative,click_percentage_relative,unique_click_percentage_relative
0,1,46.53198653198653,36.35353535353536,0.04744326369123163,0.05034060396320798,1.0,1.0,1.0,1.0
1,2,25.816326530612244,18.877551020408163,0.03732536187062974,0.037327254814478614,0.554808175079004,0.5192768966436254,0.7867368086974199,0.7414939805203703
2,3,18.83969465648855,10.48091603053435,0.02682439788481144,0.026377874051981928,0.40487621656853107,0.28830527563848307,0.5653995066483817,0.5239880330251998
