,order,total_clicks,total_clicks,total_clicks,total_clicks,unique_clicks,unique_clicks,unique_clicks,unique_clicks,click_percentage,click_percentage,click_percentage,click_percentage,unique_click_percentage,unique_click_percentage,unique_click_percentage,unique_click_percentage
,,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count
0,1,46.53198653198653,20.0,76.15182971768418,297,36.35353535353536,15.0,57.92533284405178,297,0.04744326369123163,0.022004889975550123,0.1003051908306004,297,0.05034060396320798,0.02654867256637168,0.08757646577126982,297
1,2,25.816326530612244,12.0,43.067233529358695,196,18.877551020408163,8.0,31.967857352586716,196,0.03732536187062974,0.007745365321701199,0.07966746230651293,196,0.037327254814478614,0.008796797838963376,0.07696918548831475,196
2,3,18.83969465648855,10.0,35.84256532583594,131,10.48091603053435,6.0,15.391981501387294,131,0.02682439788481144,0.005997001499250375,0.04887657924686695,131,0.026377874051981928,0.007413509060955519,0.05244206412808605,131
